threshold	controller	opt_metric	config	energy_savings_pct	adequate_rate	ewq	mras	pareto	trmr	correct_rate	over_provision_rate	mean_miss_rate	pct_nano	pct_small	pct_medium	switches_per_100	n_solvable	n_total
0.4	DirectThreshold	mras	mn=0.00,ms=0.02	6.0969	97.4822	0.299332	0.021991	0.059434	0.018128	49.419	48.0633	0.293329	5.42	5.26	89.32	3.75	3098	4236
0.4	DirectThreshold	pareto	mn=0.00,ms=0.00	6.8441	96.643	0.296795	0.016545	0.066143	0.020083	49.193	47.45	0.295324	5.42	6.81	87.77	4.7	3098	4236
0.4	DirectThreshold	trmr	mn=0.00,ms=0.00	6.8441	96.643	0.296795	0.016545	0.066143	0.020083	49.193	47.45	0.295324	5.42	6.81	87.77	4.7	3098	4236
0.4	EnergyPenalty	binary	lu=20.0	8.3621	95.1259	0.291782	0.00907	0.079545	0.02547	48.9994	46.1265	0.298978	5.65	9.65	84.7	5.88	3098	4236
0.4	EnergyPenalty	ewq	lu=20.0	8.3621	95.1259	0.291782	0.00907	0.079545	0.02547	48.9994	46.1265	0.298978	5.65	9.65	84.7	5.88	3098	4236
0.4	EnergyPenalty	mras	lu=20.0	8.3621	95.1259	0.291782	0.00907	0.079545	0.02547	48.9994	46.1265	0.298978	5.65	9.65	84.7	5.88	3098	4236
0.4	EnergyPenalty	pareto	lu=3.0	49.8464	53.583	0.199248	-0.197325	0.267092	0.168025	43.8025	9.7805	0.37941	9.33	90.67	0.0	4.91	3098	4236
0.4	EnergyPenalty	trmr	lu=3.0	49.8464	53.583	0.199248	-0.197325	0.267092	0.168025	43.8025	9.7805	0.37941	9.33	90.67	0.0	4.91	3098	4236
0.5	AlwaysNano	none		65.6444	26.973	0.115254	-0.553207	0.177063	0.037364	26.973	0.0	0.559234	100.0	0.0	0.0	0.0	4004	4236
0.5	AlwaysSmall	none		48.221	77.8472	0.29967	0.152748	0.375387	0.26411	50.8741	26.973	0.412335	0.0	100.0	0.0	0.0	4004	4236
0.5	AlwaysMedium	none		0.0	100.0	0.354474	0.0	0.0	0.0	22.1528	77.8472	0.322763	0.0	0.0	100.0	0.0	4004	4236
0.5	Oracle	none		42.2383	100.0	0.277699	0.422383	0.422383	0.335122	100.0	0.0	0.404781	26.97	50.87	22.15	32.18	4004	4236
0.5	DirectThreshold	binary	mn=0.10,ms=0.00	33.3846	87.1379	0.332687	0.142113	0.290906	0.183725	45.1798	41.958	0.380841	4.22	63.49	32.29	17.61	4004	4236
0.5	DirectThreshold	ewq	mn=0.05,ms=0.15	5.5255	97.6773	0.367381	0.017347	0.053972	0.014379	26.5235	71.1538	0.330442	6.97	1.97	91.06	4.58	4004	4236
0.5	DirectThreshold	mras	mn=0.08,ms=0.00	33.4629	86.988	0.331874	0.140284	0.291087	0.183364	45.2547	41.7333	0.381339	4.67	63.04	32.29	17.8	4004	4236
0.5	DirectThreshold	pareto	mn=0.00,ms=0.00	34.4594	85.015	0.323322	0.114433	0.292956	0.176184	45.2298	39.7852	0.387782	10.39	57.32	32.29	17.35	4004	4236
0.5	DirectThreshold	trmr	mn=0.00,ms=0.00	34.4594	85.015	0.323322	0.114433	0.292956	0.176184	45.2298	39.7852	0.387782	10.39	57.32	32.29	17.35	4004	4236
0.5	EnergyPenalty	binary	lu=20.0	39.629	82.7922	0.314832	0.132922	0.328097	0.206711	49.6753	33.1169	0.397725	10.61	67.73	21.65	12.91	4004	4236
0.5	EnergyPenalty	ewq	lu=20.0	39.629	82.7922	0.314832	0.132922	0.328097	0.206711	49.6753	33.1169	0.397725	10.61	67.73	21.65	12.91	4004	4236
0.5	EnergyPenalty	mras	lu=10.0	42.8837	81.2438	0.310017	0.14193	0.348403	0.225433	52.3477	28.8961	0.403562	10.84	74.18	14.99	11.4	4004	4236
0.5	EnergyPenalty	pareto	lu=5.0	50.1655	75.1249	0.294834	0.123053	0.376868	0.254681	54.6204	20.5045	0.420469	11.71	88.09	0.2	2.43	4004	4236
0.5	EnergyPenalty	trmr	lu=5.0	50.1655	75.1249	0.294834	0.123053	0.376868	0.254681	54.6204	20.5045	0.420469	11.71	88.09	0.2	2.43	4004	4236
