frame_id,fn_nano,nano_tp,nano_fp,nano_count,fn_medium,medium_tp,medium_fp,medium_count,x_count,mean_iou_nano,mean_iou_medium
122,7,1,1,2,1,7,1,8,8,0.7642741203308105,0.8936771154403687
123,8,1,2,3,1,8,0,8,9,0.625663161277771,0.8771249055862427
124,7,1,1,2,0,8,1,9,8,0.7029362916946411,0.9018131494522095
125,9,1,1,2,0,10,0,10,10,0.6489537954330444,0.9053770899772644
126,8,3,0,3,2,9,0,9,11,0.8152366280555725,0.920130729675293
127,8,2,0,2,2,8,1,9,10,0.7901382446289062,0.9111026525497437
128,7,3,1,4,1,9,2,11,10,0.9049880504608154,0.9529078006744385
129,6,5,2,7,1,10,1,11,11,0.9125210642814636,0.9331392049789429
130,4,5,0,5,0,9,2,11,9,0.9070747494697571,0.9524219036102295
131,4,6,0,6,0,10,2,12,10,0.910473644733429,0.9571704864501953
132,5,5,0,5,0,10,2,12,10,0.8989542126655579,0.9657720327377319
133,5,5,1,6,0,10,1,11,10,0.8772799372673035,0.9544222950935364
134,5,6,0,6,2,9,0,9,11,0.8834602236747742,0.9524209499359131
135,4,7,2,9,0,11,0,11,11,0.8891829252243042,0.9305211901664734
136,5,6,0,6,0,11,0,11,11,0.8294133543968201,0.8988283276557922
137,4,5,1,6,1,8,0,8,9,0.844414234161377,0.9548323154449463
138,3,6,2,8,0,9,1,10,9,0.8734362721443176,0.952626645565033
139,2,6,0,6,0,8,1,9,8,0.9008308053016663,0.9614830017089844
140,2,6,1,7,0,8,2,10,8,0.8503881096839905,0.9388843774795532
141,4,6,0,6,0,10,1,11,10,0.8993280529975891,0.9596750140190125
142,3,6,1,7,0,9,2,11,9,0.8988807201385498,0.9716254472732544
143,5,7,1,8,0,12,0,12,12,0.8941876292228699,0.9604853987693787
144,2,9,1,10,0,11,3,14,11,0.8528438210487366,0.9727500677108765
145,4,9,0,9,1,12,0,12,13,0.8489353656768799,0.9556127190589905
146,7,7,0,7,1,13,1,14,14,0.8639432787895203,0.9463701248168945
147,3,9,0,9,1,11,1,12,12,0.8441727161407471,0.9585438370704651
148,6,6,0,6,0,12,2,14,12,0.8198387622833252,0.9231047630310059
149,3,8,1,9,0,11,3,14,11,0.8489872217178345,0.9460897445678711
150,3,8,0,8,0,11,3,14,11,0.8257452249526978,0.95572429895401
151,8,6,0,6,1,13,1,14,14,0.851726233959198,0.9580466151237488
152,4,5,0,5,0,9,2,11,9,0.8276296854019165,0.9406306147575378
153,7,5,0,5,1,11,0,11,12,0.81047123670578,0.9168925881385803
154,8,3,1,4,0,11,0,11,11,0.9183128476142883,0.9438266158103943
155,8,2,1,3,0,10,2,12,10,0.9545242786407471,0.9315260648727417
156,6,4,0,4,0,10,0,10,10,0.9015783071517944,0.8789049386978149
157,5,5,0,5,1,9,2,11,10,0.83586186170578,0.9309622645378113
158,7,3,1,4,1,9,2,11,10,0.8558216094970703,0.9189847111701965
159,8,3,0,3,1,10,1,11,11,0.9206473231315613,0.9158880114555359
160,7,2,0,2,0,9,2,11,9,0.9624702334403992,0.8856017589569092
161,7,2,1,3,1,8,1,9,9,0.9169876575469971,0.9062159061431885
162,6,2,0,2,0,8,0,8,8,0.9276459217071533,0.8853588104248047
163,6,2,0,2,0,8,0,8,8,0.9242000579833984,0.8851983547210693
164,5,2,0,2,0,7,0,7,7,0.8862966895103455,0.883497416973114
165,5,2,0,2,0,7,0,7,7,0.7867242693901062,0.8926762938499451
166,5,2,0,2,0,7,0,7,7,0.6033203601837158,0.9236434102058411
167,7,2,0,2,1,8,0,8,9,0.8518673181533813,0.9200555086135864
168,7,3,1,4,2,8,2,10,10,0.8783082962036133,0.8470630049705505
169,6,4,1,5,0,10,1,11,10,0.883742094039917,0.9079062342643738
170,6,4,1,5,0,10,0,10,10,0.8786643147468567,0.9185007214546204
171,7,5,0,5,1,11,0,11,12,0.887924075126648,0.9385225176811218
172,8,4,1,5,0,12,0,12,12,0.9277139902114868,0.9082615971565247
173,6,4,0,4,0,10,3,13,10,0.9066118001937866,0.9301695823669434
174,7,5,2,7,0,12,1,13,12,0.8868301510810852,0.9374491572380066
175,8,5,0,5,0,13,1,14,13,0.9100407361984253,0.9364444017410278
176,6,5,1,6,0,11,2,13,11,0.9212023615837097,0.9362493753433228
177,6,7,1,8,1,12,2,14,13,0.8700981140136719,0.9275796413421631
178,5,6,1,7,0,11,0,11,11,0.8586413264274597,0.8914099335670471
179,7,5,2,7,0,12,0,12,12,0.8717231750488281,0.9266576766967773
180,7,6,0,6,0,13,1,14,13,0.8545732498168945,0.9229002594947815
181,7,7,1,8,0,14,2,16,14,0.8942087888717651,0.9370235204696655
182,7,9,1,10,2,14,2,16,16,0.8707394003868103,0.9511346817016602
183,6,8,2,10,0,14,2,16,14,0.8658086061477661,0.9483329057693481
184,6,8,1,9,0,14,1,15,14,0.819229245185852,0.9522166848182678
185,6,10,0,10,0,16,0,16,16,0.8376216888427734,0.9504259824752808
186,3,10,1,11,0,13,4,17,13,0.8419179916381836,0.9656727313995361
187,4,9,2,11,0,13,5,18,13,0.8556246757507324,0.9516128897666931
188,6,9,0,9,0,15,0,15,15,0.8684346079826355,0.9511830806732178
189,6,7,1,8,0,13,1,14,13,0.8638272881507874,0.9420874118804932
190,11,5,2,7,0,16,1,17,16,0.8544690012931824,0.9355059266090393
191,10,7,1,8,2,15,0,15,17,0.7711793780326843,0.9160864949226379
192,10,5,2,7,1,14,2,16,15,0.8531249761581421,0.9457730054855347
193,9,6,2,8,1,14,1,15,15,0.8184407353401184,0.9145164489746094
194,9,5,2,7,0,14,0,14,14,0.8481910824775696,0.9207379221916199
195,8,5,1,6,0,13,2,15,13,0.8312773704528809,0.9167484641075134
196,6,8,2,10,1,13,1,14,14,0.7669708132743835,0.9194614887237549
197,6,7,1,8,0,13,2,15,13,0.8669219613075256,0.9534067511558533
198,7,8,3,11,1,14,2,16,15,0.8283624649047852,0.9461479783058167
199,9,6,4,10,0,15,4,19,15,0.851615846157074,0.9281553626060486
200,11,6,4,10,1,16,1,17,17,0.8486309051513672,0.9253057241439819
201,9,7,4,11,0,16,1,17,16,0.7878190875053406,0.9272291660308838
202,9,5,4,9,0,14,1,15,14,0.7835162878036499,0.9416972398757935
203,7,3,0,3,0,10,0,10,10,0.773277759552002,0.8974449038505554
204,2,2,1,3,1,3,0,3,4,0.8705623149871826,0.9654327034950256
205,3,6,0,6,0,9,0,9,9,0.7273375391960144,0.9543282389640808
206,2,5,1,6,0,7,2,9,7,0.8520307540893555,0.9587216973304749
207,7,6,0,6,2,11,2,13,13,0.7945799231529236,0.9430779814720154
208,7,5,1,6,1,11,0,11,12,0.8003460168838501,0.9486885666847229
209,4,8,1,9,1,11,2,13,12,0.8362475037574768,0.9587682485580444
210,4,8,2,10,3,9,0,9,12,0.8321232795715332,0.9597254991531372
211,6,6,1,7,2,10,0,10,12,0.8273035883903503,0.9571226835250854
212,6,4,0,4,1,9,0,9,10,0.8500032424926758,0.9339373111724854
213,4,5,1,6,0,9,1,10,9,0.9368147850036621,0.9503834843635559
214,2,6,0,6,0,8,0,8,8,0.8699243664741516,0.9406406879425049
215,3,5,2,7,1,7,1,8,8,0.8549743890762329,0.9498620629310608
216,5,3,1,4,1,7,0,7,8,0.8949839472770691,0.9619540572166443
217,5,4,0,4,2,7,0,7,9,0.9051617980003357,0.9677107930183411
218,2,4,1,5,0,6,1,7,6,0.8906058669090271,0.9769002795219421
219,2,4,0,4,1,5,1,6,6,0.9368108510971069,0.9813456535339355
220,3,3,1,4,2,4,0,4,6,0.9056673645973206,0.9429325461387634
221,3,3,1,4,2,4,0,4,6,0.8995469212532043,0.9637959003448486
222,3,4,1,5,1,6,1,7,7,0.9199416637420654,0.9474821090698242
223,2,4,1,5,1,5,1,6,6,0.9187519550323486,0.957780659198761
224,2,4,2,6,1,5,0,5,6,0.9287004470825195,0.9760251045227051
225,1,4,0,4,0,5,0,5,5,0.9041603207588196,0.9618603587150574
226,1,5,0,5,0,6,0,6,6,0.9199908375740051,0.973383367061615
227,2,6,0,6,1,7,0,7,8,0.885349452495575,0.9106084108352661
228,1,5,1,6,1,5,1,6,6,0.8915466070175171,0.9581301808357239
229,3,2,1,3,1,4,1,5,5,0.9364573359489441,0.946164071559906
230,3,4,1,5,1,6,0,6,7,0.868844747543335,0.9762541651725769
231,3,4,0,4,0,7,1,8,7,0.942603588104248,0.9461135864257812
232,3,5,0,5,0,8,0,8,8,0.8740989565849304,0.9682551622390747
233,2,5,1,6,0,7,2,9,7,0.8399083018302917,0.9529300928115845
234,1,6,0,6,1,6,1,7,7,0.8771197199821472,0.9631562232971191
235,3,6,2,8,0,9,0,9,9,0.9010483622550964,0.937938928604126
236,3,5,1,6,0,8,0,8,8,0.9315532445907593,0.9618253707885742
237,2,5,1,6,0,7,1,8,7,0.8827430009841919,0.969216525554657
238,3,7,2,9,1,9,0,9,10,0.8943857550621033,0.9560699462890625
239,2,8,0,8,0,10,0,10,10,0.8757697343826294,0.9630082845687866
240,5,6,1,7,1,10,1,11,11,0.8867144584655762,0.9523674845695496
241,3,7,1,8,0,10,0,10,10,0.8977320790290833,0.9590004682540894
242,4,7,1,8,2,9,1,10,11,0.8652769923210144,0.9685306549072266
243,3,6,0,6,1,8,2,10,9,0.8817019462585449,0.9538226127624512
244,4,5,0,5,0,9,3,12,9,0.8604258298873901,0.9630599617958069
245,3,6,1,7,0,9,0,9,9,0.87937992811203,0.9387851357460022
246,3,6,2,8,0,9,0,9,9,0.8708003163337708,0.9060020446777344
247,5,5,0,5,2,8,0,8,10,0.83805912733078,0.9565756916999817
248,6,4,2,6,1,9,0,9,10,0.8859526515007019,0.9146994352340698
249,4,5,3,8,0,9,0,9,9,0.8416984677314758,0.9222701191902161
250,6,5,1,6,0,11,0,11,11,0.8741660118103027,0.903942883014679
251,5,6,2,8,0,11,2,13,11,0.876335620880127,0.9216243624687195
252,5,7,2,9,0,12,0,12,12,0.8323483467102051,0.9664875864982605
253,5,7,1,8,0,12,2,14,12,0.867953896522522,0.9596508145332336
254,7,8,0,8,1,14,2,16,15,0.9079121351242065,0.9631475210189819
255,8,7,3,10,0,15,1,16,15,0.8626049757003784,0.949383020401001
256,4,8,1,9,0,12,1,13,12,0.8518307209014893,0.9425147175788879
257,6,5,2,7,0,11,1,12,11,0.8905690908432007,0.9472598433494568
258,6,6,0,6,1,11,2,13,12,0.8364701867103577,0.9526779651641846
259,7,5,0,5,1,11,2,13,12,0.8725894689559937,0.9647331833839417
260,4,5,2,7,0,9,0,9,9,0.9030613899230957,0.9561523795127869
261,4,5,1,6,0,9,0,9,9,0.8901680111885071,0.9632167816162109
262,6,4,0,4,1,9,0,9,10,0.9131564497947693,0.9394499659538269
263,4,6,1,7,0,10,1,11,10,0.8910458087921143,0.9619156718254089
264,6,6,0,6,1,11,1,12,12,0.9290267825126648,0.9452323913574219
265,5,8,2,10,3,10,0,10,13,0.8976739645004272,0.964982807636261
266,4,8,1,9,1,11,1,12,12,0.9000882506370544,0.9635820388793945
267,5,8,3,11,0,13,0,13,13,0.8887909650802612,0.969235360622406
268,8,8,0,8,3,13,0,13,16,0.8969794511795044,0.9745597243309021
269,6,9,3,12,0,15,1,16,15,0.8991315364837646,0.9637243151664734
270,9,9,1,10,1,17,0,17,18,0.8644038438796997,0.9606121182441711
271,8,8,1,9,3,13,0,13,16,0.9008619785308838,0.970306932926178
272,8,10,1,11,1,17,3,20,18,0.8906882405281067,0.935452938079834
273,6,11,1,12,1,16,4,20,17,0.9045213460922241,0.9671271443367004
274,5,11,4,15,1,15,5,20,16,0.8896686434745789,0.9596527218818665
275,9,10,1,11,2,17,2,19,19,0.9185808300971985,0.9507362246513367
276,8,10,2,12,2,16,6,22,18,0.8868502378463745,0.9665894508361816
277,8,10,0,10,1,17,3,20,18,0.864378809928894,0.9611318111419678
278,8,10,2,12,1,17,4,21,18,0.884299099445343,0.9570402503013611
279,8,11,4,15,0,19,5,24,19,0.8648128509521484,0.9658581614494324
280,8,11,1,12,1,18,3,21,19,0.8407812118530273,0.9578755497932434
281,8,9,1,10,0,17,4,21,17,0.8676500916481018,0.9597863554954529
282,10,11,3,14,2,19,2,21,21,0.8551463484764099,0.9616735577583313
283,10,8,2,10,0,18,2,20,18,0.8999224901199341,0.9650139212608337
284,11,9,4,13,4,16,7,23,20,0.8202880024909973,0.9470258951187134
285,13,8,2,10,3,18,1,19,21,0.8948674201965332,0.9506866931915283
286,10,9,4,13,1,18,4,22,19,0.8500002026557922,0.9367344975471497
287,7,13,0,13,0,20,2,22,20,0.77812260389328,0.9355083703994751
288,11,11,0,11,2,20,1,21,22,0.8051239252090454,0.9466499090194702
289,11,9,2,11,2,18,2,20,20,0.8437038064002991,0.9201379418373108
290,9,7,4,11,1,15,4,19,16,0.8041962385177612,0.9489418268203735
291,5,14,1,15,1,18,2,20,19,0.769697368144989,0.9250609874725342
292,8,9,2,11,1,16,3,19,17,0.7500824928283691,0.9634736776351929
293,9,9,2,11,1,17,3,20,18,0.8184031248092651,0.9533998966217041
294,10,10,3,13,1,19,2,21,20,0.838267982006073,0.9524132609367371
295,7,8,4,12,1,14,8,22,15,0.8088074922561646,0.964548647403717
296,10,8,4,12,2,16,6,22,18,0.7743794918060303,0.9408484101295471
297,8,9,3,12,0,17,6,23,17,0.7535073757171631,0.9639874696731567
298,8,9,4,13,2,15,7,22,17,0.7377891540527344,0.9659095406532288
299,8,8,6,14,1,15,6,21,16,0.7953554391860962,0.9557172060012817
300,10,7,4,11,1,16,6,22,17,0.8214961290359497,0.9530041813850403
301,10,7,4,11,1,16,8,24,17,0.8521647453308105,0.9397258758544922
302,11,7,1,8,3,15,6,21,18,0.7985976338386536,0.9610715508460999
303,8,8,0,8,3,13,7,20,16,0.7272369861602783,0.9610506296157837
304,9,8,3,11,1,16,4,20,17,0.8123557567596436,0.9571759700775146
305,9,6,2,8,1,14,7,21,15,0.820862352848053,0.9577110409736633
306,11,6,4,10,1,16,4,20,17,0.8214826583862305,0.9560585618019104
307,8,8,5,13,1,15,7,22,16,0.8117341995239258,0.9656959772109985
308,7,7,4,11,0,14,5,19,14,0.8066909909248352,0.9587101936340332
309,5,9,6,15,0,14,5,19,14,0.8040826916694641,0.9631009697914124
310,7,8,6,14,3,12,4,16,15,0.8074156045913696,0.9663571715354919
311,5,7,6,13,0,12,9,21,12,0.8114949464797974,0.9670865535736084
312,8,9,9,18,3,14,7,21,17,0.851885974407196,0.9649309515953064
313,9,9,5,14,0,18,3,21,18,0.8211793899536133,0.9628865122795105
314,7,6,5,11,1,12,7,19,13,0.8128294944763184,0.9607159495353699
315,10,7,5,12,3,14,3,17,17,0.8159906268119812,0.9663845896720886
316,10,8,3,11,2,16,5,21,18,0.8050439357757568,0.9421695470809937
317,6,8,4,12,0,14,8,22,14,0.7804970741271973,0.9498491883277893
318,9,6,5,11,3,12,7,19,15,0.7991721630096436,0.9702001214027405
319,4,8,7,15,0,12,9,21,12,0.7800179719924927,0.9628916382789612
320,7,8,7,15,1,14,6,20,15,0.7840745449066162,0.9655317068099976
321,9,5,6,11,2,12,7,19,14,0.8688913583755493,0.9642356038093567
322,5,7,4,11,0,12,7,19,12,0.7811790704727173,0.94795823097229
323,5,8,5,13,0,13,10,23,13,0.7960693836212158,0.9658998847007751
324,8,7,3,10,0,15,7,22,15,0.8257716298103333,0.9474281072616577
325,8,7,6,13,1,14,10,24,15,0.7965102791786194,0.9450122714042664
326,4,8,7,15,0,12,8,20,12,0.7657008767127991,0.9579913020133972
327,8,8,4,12,2,14,4,18,16,0.8381513953208923,0.9615920186042786
328,8,9,5,14,1,16,4,20,17,0.8281447887420654,0.9625749588012695
329,5,9,7,16,0,14,4,18,14,0.7740767002105713,0.9635982513427734
330,6,7,9,16,0,13,6,19,13,0.8222340941429138,0.9707412123680115
331,9,6,7,13,0,15,6,21,15,0.781788170337677,0.9586514234542847
332,7,7,3,10,0,14,3,17,14,0.8174152970314026,0.9628733992576599
333,6,8,4,12,1,13,3,16,14,0.7780371308326721,0.9595264792442322
334,5,11,6,17,1,15,4,19,16,0.7936089038848877,0.9565953612327576
335,7,10,6,16,2,15,5,20,17,0.7936224937438965,0.9619662761688232
336,7,11,6,17,3,15,5,20,18,0.7776563763618469,0.9711855053901672
337,6,11,4,15,0,17,6,23,17,0.7845601439476013,0.9573411345481873
338,7,9,5,14,1,15,4,19,16,0.75992351770401,0.9581098556518555
339,5,10,6,16,0,15,6,21,15,0.7994157075881958,0.9537851214408875
340,6,8,6,14,0,14,6,20,14,0.847087025642395,0.9602523446083069
341,5,8,6,14,0,13,6,19,13,0.8589929342269897,0.9559157490730286
342,7,8,6,14,0,15,7,22,15,0.8750675916671753,0.9547373056411743
343,5,10,6,16,0,15,5,20,15,0.8466949462890625,0.9635810852050781
344,4,9,6,15,0,13,10,23,13,0.8380510807037354,0.9561299681663513
345,6,9,5,14,2,13,6,19,15,0.7928698062896729,0.9504982233047485
346,6,8,5,13,1,13,7,20,14,0.7997462749481201,0.9468470811843872
347,6,7,7,14,0,13,9,22,13,0.835650622844696,0.9537919163703918
348,6,8,4,12,0,14,7,21,14,0.7752945423126221,0.9601443409919739
349,6,8,4,12,0,14,5,19,14,0.8364300727844238,0.9568201899528503
350,6,10,2,12,1,15,4,19,16,0.829800009727478,0.959762692451477
351,9,7,2,9,2,14,6,20,16,0.8586774468421936,0.9564562439918518
352,7,10,4,14,2,15,6,21,17,0.8266727328300476,0.9583526253700256
353,5,10,6,16,1,14,7,21,15,0.8191843032836914,0.9541260004043579
354,6,9,5,14,0,15,5,20,15,0.8494749665260315,0.9512075781822205
355,6,9,6,15,0,15,4,19,15,0.8457677960395813,0.9525966644287109
356,6,10,7,17,2,14,7,21,16,0.8602509498596191,0.9491873979568481
357,8,9,3,12,2,15,8,23,17,0.8396136164665222,0.9556820392608643
358,6,7,9,16,3,10,9,19,13,0.8963351249694824,0.9569180607795715
359,7,8,6,14,2,13,7,20,15,0.8226145505905151,0.9480214715003967
360,7,12,3,15,4,15,7,22,19,0.736243486404419,0.9470988512039185
361,7,10,5,15,1,16,8,24,17,0.8207895159721375,0.9358267784118652
362,7,11,2,13,1,17,9,26,18,0.7934969067573547,0.9525864720344543
363,9,9,6,15,1,17,7,24,18,0.84652179479599,0.9417790770530701
364,9,9,5,14,0,18,7,25,18,0.8229770064353943,0.9530744552612305
365,9,10,2,12,0,19,7,26,19,0.7666175365447998,0.9370966553688049
366,8,10,6,16,0,18,9,27,18,0.8166266679763794,0.9484931230545044
