model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
EvidentialLSTM	0.010176	0.010176	0.081182	0.081182	0.980663	0.980663	0.500000	0.500000	0.981584	0.981584	0.000760	0.000760	0.980663	0.980663	0.500000	0.500000	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	kept	[1CAM] baseline: h64/L3/t10-70, first config meeting all criteria
EvidentialLSTM	0.014540	0.027663	0.090141	0.134023	0.942378	0.945863	0.517321	0.500000	0.850599	0.945863	0.084981	0.046526	0.942059	0.945863	0.510393	0.500000	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.2}	discarded	[4CAM] lambda1=0.2: mse_within worse (0.01454 vs 0.01361)
EvidentialLSTM	0.013607	0.020347	0.087412	0.115756	0.953232	0.817342	0.535047	0.497013	0.800958	0.818222	0.100949	0.074114	0.952434	0.817121	0.525701	0.497013	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 25, "t2_percentile": 85, "t1": 0.3246, "t2": 0.8333, "lambda1": 0.25}	kept	[4CAM] t1=25/t2=85: same mse, better cls_acc within, cross cls_trans borderline
EvidentialLSTM	0.011328	0.011328	0.085500	0.085500	0.980663	0.980663	0.500000	0.500000	0.981584	0.981584	0.001015	0.001015	0.980663	0.980663	0.500000	0.500000	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.5, "single_cam": "Eastgate"}	discarded	[1CAM] lambda1=0.5: mse_within worse (0.01133 vs 0.01018)
EvidentialLSTM	0.014709	0.014709	0.097653	0.097653	0.955341	0.955341	0.530303	0.530303	0.981584	0.981584	0.001273	0.001273	0.941529	0.941529	0.530303	0.530303	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.1, "single_cam": "Eastgate"}	discarded	[1CAM] lambda1=0.1: mse much worse (0.01471 vs 0.01018)
EvidentialLSTM	0.011413	0.011413	0.085828	0.085828	0.980663	0.980663	0.500000	0.500000	0.981584	0.981584	0.000848	0.000848	0.980663	0.980663	0.500000	0.500000	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] h128/L3: worse (0.01141 vs 0.01018)
EvidentialLSTM	0.021796	0.021796	0.123181	0.123181	0.974217	0.974217	0.500000	0.500000	0.981584	0.981584	0.003409	0.003409	0.972836	0.972836	0.500000	0.500000	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 32, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] h32/L3: much worse (0.02180)
EvidentialLSTM	0.011508	0.011508	0.085880	0.085880	0.975138	0.975138	0.500000	0.500000	0.981584	0.981584	0.001485	0.001485	0.970994	0.970994	0.484848	0.484848	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 2, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] h64/L2: worse (0.01151 vs 0.01018)
EvidentialLSTM	0.013730	0.013730	0.094943	0.094943	0.980663	0.980663	0.500000	0.500000	0.981584	0.981584	-0.003527	-0.003527	0.980203	0.980203	0.484848	0.484848	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.1, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] d0.1: worse mse, unc_sep<0
EvidentialLSTM	0.013943	0.013943	0.095752	0.095752	0.981584	0.981584	0.500000	0.500000	0.981584	0.981584	-0.000764	-0.000764	0.981584	0.981584	0.500000	0.500000	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.0005, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] lr=5e-4: worse mse, unc_sep<0
EvidentialLSTM	0.011841	0.011841	0.087648	0.087648	0.981123	0.981123	0.500000	0.500000	0.981584	0.981584	0.001387	0.001387	0.981123	0.981123	0.500000	0.500000	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.002, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] lr=2e-3: worse (0.01184 vs 0.01018)
EvidentialLSTM	0.014155	0.014155	0.096373	0.096373	0.981584	0.981584	0.500000	0.500000	0.981584	0.981584	0.002025	0.002025	0.981584	0.981584	0.500000	0.500000	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 32, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] bs=32: worse (0.01416)
