model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	n_within	n_cross	config	status	description
LSTM	0.010332	0.018440	0.072873	0.104075	0.931116	0.877737	0.520000	0.520337	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	kept	hidden=256 (mse_within -0.4%)
LSTM	0.010668	0.020493	0.074706	0.110209	0.930017	0.878604	0.521600	0.496494	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":192,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	hidden=192 (mse_within worse)
LSTM	0.010513	0.019353	0.074779	0.108342	0.930331	0.881639	0.524800	0.493689	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":4,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	n_layers=4 (mse_within worse)
LSTM	0.011149	0.019370	0.077817	0.111006	0.929390	0.882506	0.518400	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":73,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	deploy_safe_73 (mse_within worse than ALL_75)
LSTM	0.010982	0.021565	0.075618	0.113133	0.928605	0.872968	0.528000	0.510519	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":73,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	nano_safe_69 (mse_within worse, cross +17%)
LSTM	0.013684	0.018866	0.088572	0.110000	0.928134	0.882506	0.510400	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":69,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	spatial_temporal_69 (mse_within +32%, but best cross/within ratio 1.38)
LSTM	0.010680	0.018419	0.075257	0.107555	0.931116	0.882723	0.512000	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":512,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	hidden=512 (mse_within worse, overfitting)
LSTM	0.010461	0.018349	0.073884	0.105909	0.931586	0.882723	0.516800	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":3,"dropout":0.2,"lr":0.0007,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	lr=7e-4 (mse_within worse)
LSTM	0.011034	0.018635	0.076673	0.107487	0.929547	0.882506	0.516800	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":3,"dropout":0.2,"lr":0.0015,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	lr=1.5e-3 (mse_within worse)
LSTM	0.010759	0.019480	0.074406	0.106904	0.930017	0.866898	0.516800	0.444600	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":3,"dropout":0.3,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	discarded	dropout=0.3+hidden=256 (mse_within worse)
LSTM	0.010377	0.019685	0.074775	0.109496	0.930372	0.886398	0.503205	0.498596	0.803718	0.886398	6348	4595	{"mode":"lstm","model":"LSTM","n_features":75,"window":45,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":256,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7984}	discarded	window=45 (mse_cross +6.8%)
