model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	n_within	n_cross	config	status	description
LSTM	0.015073	0.020673	0.093225	0.113768	0.933678	0.943012	0.514056	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":64,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	dropout=0.2 (mse_within worse)
LSTM	0.014500	0.020008	0.091220	0.113200	0.938382	0.943012	0.512048	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":64,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	kept	dropout=0.1 (mse_within -5.9%, mse_cross -4.2%)
LSTM	0.014745	0.020298	0.092733	0.114181	0.934933	0.943012	0.526104	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.0005,"batch_size":64,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	lr=5e-4 (mse_within worse)
LSTM	0.014511	0.021322	0.092205	0.117042	0.932894	0.943012	0.516064	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.002,"batch_size":64,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	lr=2e-3 (mse_cross worse)
LSTM	0.015197	0.036182	0.094542	0.151498	0.935246	0.820368	0.514056	0.486618	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.0001,"batch_size":64,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	lr=1e-4 (underfitting, mse_cross +81%)
LSTM	0.013913	0.019967	0.089527	0.113864	0.934305	0.943012	0.516064	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	kept	batch_size=32 (mse_within -4.0%)
LSTM	0.014288	0.024120	0.090813	0.120469	0.937284	0.943012	0.536145	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":128,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	batch=128 (mse_cross +20%)
LSTM	0.015376	0.020580	0.094035	0.114189	0.937284	0.943012	0.540161	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333,"weight_decay":0}	discarded	weight_decay=0 (mse_within worse)
LSTM	0.014455	0.048329	0.092656	0.171627	0.934305	0.759047	0.465863	0.491484	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333,"weight_decay":1e-4}	discarded	weight_decay=1e-4 (mse_cross +142%)
LSTM	0.013913	0.019967	0.089527	0.113864	0.934305	0.943012	0.516064	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333,"patience":25}	discarded	patience=25 (same as 40)
