model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
EvidentialLSTM	0.014188	0.026531	0.090379	0.129981	0.937909	0.945863	0.512702	0.500000	0.850599	0.945863	0.185381	0.072057	0.937909	0.945863	0.510393	0.500000	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.28}	kept	[EVID 4CAM UNC baseline] cls_trans=0.513, unc_sep=0.185
LSTM	0.013804	0.022122	0.088679	0.119152	1.000000	0.999776	0.000000	0.500000	1.000000	0.999776							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 1, "n_steps": 30, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.0, "t2": 1.0, "train_stride": 6}	discarded	[SW1 PLAIN 4CAM] cls_trans 0.0000 <= baseline 0.5328
LSTM	0.015935	0.017805	0.096835	0.105754	0.947454	0.955790	0.492347	0.500000	0.855907	0.955790							6128	4456	{"cfg": "PLAIN 4CAM", "mode": "lstm", "n_features": 65, "hidden_size": 256, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "sub_window": 2, "n_steps": 15, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.2, "t2": 1.0, "train_stride": 6}	discarded	[SW2 PLAIN 4CAM] cls_trans 0.4923 <= baseline 0.5328
LSTM	0.007972	0.007972	0.070105	0.070105	0.633125	0.633125	0.504016	0.504016	0.574386	0.574386							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5667, "train_stride": 6, "single_cam": "Bellevue_Bellevue_NE8th"}	baseline	[BASELINE PLAIN 1CAM]
EvidentialLSTM	0.015220	0.025191	0.089712	0.123088	0.932961	0.941021	0.570439	0.522727	0.850599	0.945863	0.162256	0.126465	0.935355	0.929357	0.572748	0.527778	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.28, "transition_loss_weight": 3}	kept	[TW EVID 4CAM UNC w=3] cls_trans 0.513->0.570\! mse 7.3% worse, unc_sep 0.162
LSTM	0.007972	0.007972	0.070105	0.070105	0.633125	0.633125	0.504016	0.504016	0.574386	0.574386							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5667, "train_stride": 6, "transition_loss_weight": 1, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[TW PLAIN 1CAM w=1] cls_trans 0.5040 <= baseline 0.5040
LSTM	0.009775	0.009775	0.077395	0.077395	0.636495	0.636495	0.506024	0.506024	0.574386	0.574386							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5667, "train_stride": 6, "transition_loss_weight": 2, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[TW PLAIN 1CAM w=2] mse +22.6% > 10% threshold
LSTM	0.012756	0.012756	0.085277	0.085277	0.636013	0.636013	0.552209	0.552209	0.574386	0.574386							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5667, "train_stride": 6, "transition_loss_weight": 3, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[TW PLAIN 1CAM w=3] mse +60.0% > 10% threshold
LSTM	0.008893	0.008893	0.073060	0.073060	0.626866	0.626866	0.524096	0.524096	0.574386	0.574386							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5667, "train_stride": 6, "transition_loss_weight": 5, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[TW PLAIN 1CAM w=5] mse +11.6% > 10% threshold
EvidentialLSTM	0.013109	0.013109	0.092857	0.092857	0.425614	0.425614	0.497992	0.497992	0.574386	0.574386	-0.002467	-0.002467	0.425614	0.425614	0.497992	0.497992	2077	2077	{"transition_loss_weight": 3, "lambda1": 0.25, "single_cam": "NE8th"}	discarded	[TW EVID 1CAM w=3] destroyed model: mse 56% worse, unc_sep<0
