model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
LSTM	0.008000	0.008000	0.000000	0.000000	0.632000	0.632000	0.512000	0.512000	0.574386	0.574386					2077	2077	{"hidden_size": 96, "n_layers": 5, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] h96/L5: same (0.00800 vs 0.00797)
LSTM	0.009100	0.009100	0.000000	0.000000	0.612000	0.612000	0.502000	0.502000	0.574386	0.574386					2077	2077	{"hidden_size": 96, "n_layers": 2, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] h96/L2: worse (0.00910)
LSTM	0.008100	0.008100	0.000000	0.000000	0.644000	0.644000	0.496000	0.496000	0.574386	0.574386					2077	2077	{"batch_size": 32, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] bs=32: cls_trans<0.50
LSTM	0.008800	0.008800	0.000000	0.000000	0.636000	0.636000	0.524000	0.524000	0.574386	0.574386					2077	2077	{"batch_size": 48, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] bs=48: worse (0.00880)
LSTM	0.008700	0.008700	0.000000	0.000000	0.643000	0.643000	0.522000	0.522000	0.574386	0.574386					2077	2077	{"batch_size": 128, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] bs=128: worse (0.00870)
LSTM	0.009900	0.009900	0.000000	0.000000	0.515000	0.515000	0.506000	0.506000	0.574386	0.574386					2077	2077	{"train_stride": 3, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] stride=3: worse
LSTM	0.010000	0.010000	0.000000	0.000000	0.629000	0.629000	0.496000	0.496000	0.574386	0.574386					2077	2077	{"train_stride": 4, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] stride=4: cls_trans<0.50
LSTM	0.011300	0.011300	0.000000	0.000000	0.619000	0.619000	0.522000	0.522000	0.574386	0.574386					2077	2077	{"train_stride": 5, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] stride=5: worse
LSTM	0.009400	0.009400	0.000000	0.000000	0.581000	0.581000	0.502000	0.502000	0.574386	0.574386					2077	2077	{"train_stride": 7, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] stride=7: worse
LSTM	0.009300	0.009300	0.000000	0.000000	0.426000	0.426000	0.498000	0.498000	0.574386	0.574386					2077	2077	{"train_stride": 8, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] stride=8: worse, cls_trans<0.50
LSTM	0.009600	0.009600	0.000000	0.000000	0.653000	0.653000	0.496000	0.496000	0.574386	0.574386					2077	2077	{"window": 20, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] w=20: worse, cls_trans<0.50
LSTM	0.008000	0.008000	0.000000	0.000000	0.652000	0.652000	0.501000	0.501000	0.574386	0.574386					2077	2077	{"window": 25, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] w=25: same (0.00800)
LSTM	0.009000	0.009000	0.000000	0.000000	0.655000	0.655000	0.513000	0.513000	0.574386	0.574386					2077	2077	{"window": 35, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] w=35: worse
LSTM	0.010700	0.010700	0.000000	0.000000	0.440000	0.440000	0.499000	0.499000	0.574386	0.574386					2077	2077	{"window": 40, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] w=40: worse
LSTM	0.008000	0.008000	0.000000	0.000000	0.633000	0.633000	0.504000	0.504000	0.574386	0.574386					2077	2077	{"t1_percentile": 15, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] t15/70: same model, thresholds cosmetic
LSTM	0.008000	0.008000	0.000000	0.000000	0.685000	0.685000	0.502000	0.502000	0.574386	0.574386					2077	2077	{"t2_percentile": 75, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] t10/75: same model, thresholds cosmetic
LSTM	0.008600	0.008600	0.000000	0.000000	0.639000	0.639000	0.506000	0.506000	0.574386	0.574386					2077	2077	{"warmup_frames": 0, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] warmup=0: worse
LSTM	0.009100	0.009100	0.000000	0.000000	0.618000	0.618000	0.515000	0.515000	0.574386	0.574386					2077	2077	{"warmup_frames": 100, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] warmup=100: worse
LSTM	0.008000	0.008000	0.000000	0.000000	0.633000	0.633000	0.484000	0.484000	0.574386	0.574386					2077	2077	{"warmup_frames": 200, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] warmup=200: cls_trans<0.50
LSTM	0.008700	0.008700	0.000000	0.000000	0.602000	0.602000	0.493000	0.493000	0.574386	0.574386					2077	2077	{"warmup_frames": 400, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] warmup=400: worse
LSTM	0.009600	0.009600	0.000000	0.000000	0.621000	0.621000	0.510000	0.510000	0.574386	0.574386					2077	2077	{"weight_decay": 0, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] wd=0: worse
LSTM	0.010300	0.010300	0.000000	0.000000	0.618000	0.618000	0.470000	0.470000	0.574386	0.574386					2077	2077	{"weight_decay": 0.0001, "single_cam": "NE8th"}	discarded	[PLAIN 1CAM] wd=1e-4: worse
